label,support,lexical_f1,semantic_f1,f1_delta_semantic_minus_lexical,lexical_errors,semantic_errors,error_delta_semantic_minus_lexical
getting_spare_card,40,0.8974358974358975,0.9176470588235294,0.020211161387631904,5,1,-4
getting_virtual_card,40,0.8387096774193549,0.896551724137931,0.05784204671857618,1,1,0
lost_or_stolen_card,40,0.9066666666666666,0.9135802469135802,0.006913580246913575,6,3,-3
lost_or_stolen_phone,40,0.9873417721518988,0.975,-0.0123417721518988,1,1,0
order_physical_card,40,0.8888888888888888,0.95,0.061111111111111116,4,2,-2
passcode_forgotten,40,1.0,1.0,0.0,0,0,0
pending_card_payment,40,0.8888888888888888,0.925,0.036111111111111205,4,3,-1
pending_cash_withdrawal,40,0.9210526315789473,0.918918918918919,-0.002133712660028375,5,6,1
pending_top_up,40,0.918918918918919,0.8860759493670886,-0.032842969551830414,6,5,-1
pending_transfer,40,0.7671232876712328,0.7647058823529411,-0.00241740531829171,12,14,2
pin_blocked,40,0.8947368421052632,0.9210526315789473,0.02631578947368418,6,5,-1
receiving_money,40,0.9090909090909091,0.8974358974358975,-0.011655011655011593,5,5,0
request_refund,40,0.8421052631578947,0.9047619047619048,0.06265664160401008,8,2,-6
reverted_card_payment?,40,0.875,0.8275862068965517,-0.04741379310344829,5,4,-1
supported_cards_and_currencies,40,0.8764044943820225,0.8674698795180723,-0.008934614863950197,1,4,3
terminate_account,40,0.975609756097561,0.963855421686747,-0.011754334410813971,0,0,0
top_up_by_bank_transfer_charge,40,0.8157894736842105,0.935064935064935,0.11927546138072453,9,4,-5
top_up_by_card_charge,40,0.95,0.95,0.0,2,2,0
top_up_by_cash_or_cheque,40,0.8918918918918919,0.9210526315789473,0.02916073968705546,7,5,-2
top_up_failed,40,0.8,0.875,0.07499999999999996,6,5,-1
top_up_limits,40,0.9512195121951219,0.9629629629629629,0.011743450767841002,1,1,0
top_up_reverted,40,0.8148148148148148,0.8974358974358975,0.0826210826210827,7,5,-2
topping_up_by_card,40,0.7945205479452054,0.8148148148148148,0.020294266869609334,11,7,-4
transaction_charged_twice,40,0.9302325581395349,0.963855421686747,0.03362286354721211,0,0,0
transfer_fee_charged,40,0.8780487804878049,0.9113924050632911,0.03334362457548623,4,4,0
transfer_into_account,40,0.8536585365853658,0.9,0.04634146341463419,5,4,-1
transfer_not_received_by_recipient,40,0.8461538461538461,0.8148148148148148,-0.031339031339031376,7,7,0
transfer_timing,40,0.8192771084337349,0.8314606741573034,0.01218356572356849,6,3,-3
unable_to_verify_identity,40,0.8354430379746836,0.9367088607594937,0.10126582278481011,7,3,-4
verify_my_identity,40,0.7529411764705882,0.9024390243902439,0.1494978479196557,8,3,-5
verify_source_of_funds,40,0.975609756097561,1.0,0.024390243902439046,0,0,0
verify_top_up,40,0.9876543209876543,1.0,0.012345679012345734,0,0,0
virtual_card_not_working,40,0.6440677966101694,0.8888888888888888,0.2448210922787194,21,8,-13
visa_or_mastercard,40,0.961038961038961,0.961038961038961,0.0,3,3,0
why_verify_identity,40,0.7466666666666667,0.9,0.15333333333333332,12,4,-8
wrong_amount_of_cash_received,40,0.8974358974358975,0.8536585365853658,-0.04377736085053163,5,5,0
wrong_exchange_rate_for_cash_withdrawal,40,0.8378378378378378,0.9333333333333333,0.09549549549549552,9,5,-4
